cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
3,179,pre:tok:in,pre,pre:tok,0.0,1,-0.11599199,0.045918003,-0.0826781
3,180,pre:tok:in,pre,pre:tok,0.0,1,0.023711625,0.024367345,0.013461646
3,181,((((hyp:tok:pub OR hyp:tok:seen) AND pre:tok:is) OR hyp:tok:magazine) AND (NOT oth:overlap:overlap50)),((((hyp OR hyp) AND pre) OR hyp) AND (NOT oth)),((((hyp:tok OR hyp:tok) AND pre:tok) OR hyp:tok) AND (NOT oth:overlap)),0.25,6,0.00447132,-0.053340226,0.035375923
3,182,pre:tok:in,pre,pre:tok,0.0,1,0.022902442,0.019054422,-0.02082715
3,183,(hyp:tok:bar AND hyp:tok:friends),(hyp AND hyp),(hyp:tok AND hyp:tok),1.0,2,-0.11159943,-0.12481917,0.076493345
3,184,pre:tok:in,pre,pre:tok,0.0,1,0.042383034,-0.010578892,0.01582296
3,185,((((hyp:tok:indoor OR pre:tok:dump) OR pre:tok:socks) OR hyp:tok:distance) AND (NOT pre:tok:on)),((((hyp OR pre) OR pre) OR hyp) AND (NOT pre)),((((hyp:tok OR pre:tok) OR pre:tok) OR hyp:tok) AND (NOT pre:tok)),0.14893617021276595,6,-0.09271542,0.12195703,-0.119010784
3,186,pre:tok:in,pre,pre:tok,0.0,1,-0.0052255737,-0.021783398,0.032608166
3,187,(hyp:tok:lemons AND pre:tok:something),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,0.04688325,-0.006550069,-0.0069883284
3,188,pre:tok:in,pre,pre:tok,0.0,1,-0.002543531,0.010231753,0.01605837
3,189,pre:tok:in,pre,pre:tok,0.0,1,-0.025256582,0.042192712,-0.021719601
3,190,pre:tok:in,pre,pre:tok,0.0,1,0.008341008,0.033068687,-5.1759744e-05
3,191,(hyp:tok:trunks AND pre:tok:to),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.05483024,0.1174363,-0.08773664
3,192,(((hyp:tok:tired AND pre:tok:men) OR pre:tok:pet) AND (NOT hyp:tok:is)),(((hyp AND pre) OR pre) AND (NOT hyp)),(((hyp:tok AND pre:tok) OR pre:tok) AND (NOT hyp:tok)),0.3333333333333333,5,-0.038326435,0.0636899,-0.11639045
3,193,pre:tok:in,pre,pre:tok,0.0,1,-0.023645775,-0.0053736,0.022892535
3,194,(hyp:tok:there AND pre:tok:end),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.17200862,-0.11564701,0.021430094
3,195,((NOT pre:tok:in) AND hyp:tok:lemons),((NOT pre) AND hyp),((NOT pre:tok) AND hyp:tok),0.5,3,-0.09429856,0.019913238,0.0007500615
3,196,pre:tok:in,pre,pre:tok,0.0,1,0.013898657,-0.0036877377,0.014237707
3,197,((((hyp:tok:dives OR hyp:tok:neck) AND pre:tok:in) OR hyp:tok:pipes) AND pre:tok:in),((((hyp OR hyp) AND pre) OR hyp) AND pre),((((hyp:tok OR hyp:tok) AND pre:tok) OR hyp:tok) AND pre:tok),0.3,5,-0.029043127,-0.08596921,0.101096444
3,198,((hyp:tok:couch AND hyp:tok:two) AND pre:tok:on),((hyp AND hyp) AND pre),((hyp:tok AND hyp:tok) AND pre:tok),0.5,3,0.118033476,-0.037484523,-0.09865106
3,199,((NOT pre:tok:in) AND hyp:tok:lemons),((NOT pre) AND hyp),((NOT pre:tok) AND hyp:tok),0.5,3,-0.024082795,0.018115602,-0.10912989
3,200,pre:tok:in,pre,pre:tok,0.0,1,-0.033764776,-0.0050887647,-0.02600243
3,201,pre:tok:in,pre,pre:tok,0.0,1,0.013784866,0.016872317,0.01369216
3,202,pre:tok:in,pre,pre:tok,0.0,1,-0.03866473,-0.009189565,-0.044769812
3,203,((((hyp:tok:sleeping OR pre:tok:racing) OR hyp:tok:tv) AND (NOT pre:tok:man)) OR pre:tok:surfing),((((hyp OR pre) OR hyp) AND (NOT pre)) OR pre),((((hyp:tok OR pre:tok) OR hyp:tok) AND (NOT pre:tok)) OR pre:tok),0.09615384615384616,6,-0.081480294,-0.066245615,0.12267757
3,204,((((NOT pre:tok:in) AND (hyp:tok:helmet OR pre:tok:meet)) OR hyp:tok:tops) AND (NOT pre:tok:front)),((((NOT pre) AND (hyp OR pre)) OR hyp) AND (NOT pre)),((((NOT pre:tok) AND (hyp:tok OR pre:tok)) OR hyp:tok) AND (NOT pre:tok)),0.2777777777777778,7,-0.1239651,0.17365472,-0.11903308
3,205,pre:tok:in,pre,pre:tok,0.0,1,0.023406269,0.008170713,0.008519941
3,206,pre:tok:in,pre,pre:tok,0.0,1,-0.03466468,0.006258125,0.015352923
3,207,pre:tok:in,pre,pre:tok,0.0,1,-0.037924863,0.0001400258,-0.0017536497
3,208,pre:tok:in,pre,pre:tok,0.0,1,-0.01722014,-0.00075193564,-0.013821736
