NOT pre:tok:children,5,5,5,3,4,5
NOT pre:tok:city,9,8,15,14,6,7
NOT pre:tok:clothes,1,1,0,0,1,0
NOT pre:tok:clothing,0,0,1,0,0,1
NOT pre:tok:coat,0,0,4,1,1,1
NOT pre:tok:colored,1,1,1,0,1,0
NOT pre:tok:colorful,0,0,1,2,1,0
NOT pre:tok:construction,4,0,3,2,4,2
NOT pre:tok:costume,0,0,0,0,1,0
NOT pre:tok:couple,0,1,0,0,0,1
NOT pre:tok:covered,0,0,0,0,0,1
NOT pre:tok:crowd,6,10,7,7,11,10
NOT pre:tok:crowded,1,0,0,0,0,0
NOT pre:tok:dance,0,0,1,0,0,0
NOT pre:tok:dancing,4,2,3,8,5,8
NOT pre:tok:dark,6,5,3,1,0,2
NOT pre:tok:day,3,2,4,2,3,3
NOT pre:tok:dirt,1,0,1,1,0,1
NOT pre:tok:dog,30,25,16,16,16,14
NOT pre:tok:dogs,1,4,4,4,2,1
NOT pre:tok:doing,4,3,2,3,2,3
NOT pre:tok:down,1,0,1,6,4,1
NOT pre:tok:dress,3,5,8,13,9,4
NOT pre:tok:dressed,1,2,2,2,1,3
NOT pre:tok:drinking,0,0,0,0,0,1
NOT pre:tok:during,1,1,1,0,1,0
NOT pre:tok:each,0,1,1,0,0,1
NOT pre:tok:eating,0,1,2,2,0,4
NOT pre:tok:edge,1,1,0,0,0,0
NOT pre:tok:elderly,0,0,1,2,0,1
NOT pre:tok:enjoying,0,1,1,0,0,0
NOT pre:tok:equipment,0,0,0,1,0,0
NOT pre:tok:eyes,0,1,0,0,0,0
NOT pre:tok:face,5,1,3,0,4,2
NOT pre:tok:feet,0,1,0,0,0,0
NOT pre:tok:female,3,2,4,2,2,2
NOT pre:tok:field,11,14,15,20,19,18
NOT pre:tok:fish,1,0,0,0,0,0
NOT pre:tok:flag,0,0,1,0,0,0
NOT pre:tok:floor,1,2,2,3,1,1
NOT pre:tok:flower,0,1,0,0,0,1
NOT pre:tok:food,11,10,12,13,13,12
NOT pre:tok:football,13,14,2,13,9,7
NOT pre:tok:for,24,20,18,18,12,18
NOT pre:tok:four,2,2,1,0,4,3
NOT pre:tok:from,2,2,2,1,2,1
NOT pre:tok:front,1,2,0,0,1,2
NOT pre:tok:full,1,1,2,0,0,2
NOT pre:tok:game,8,9,6,7,6,8
NOT pre:tok:gathered,0,0,0,2,2,0
NOT pre:tok:getting,0,0,1,0,1,0
NOT pre:tok:girl,28,26,31,17,13,14
NOT pre:tok:girls,11,12,19,13,16,16
NOT pre:tok:glasses,5,5,4,2,4,1
NOT pre:tok:graffiti,0,0,0,0,0,1
NOT pre:tok:grass,2,7,4,4,7,8
NOT pre:tok:grassy,0,0,0,0,1,0
NOT pre:tok:gray,3,1,0,2,4,3
NOT pre:tok:green,19,19,17,12,13,12
NOT pre:tok:ground,1,3,1,2,3,3
